=== FULL VISUAL ODOMETRY PIPELINE ===
Initial map points: 115
frame 000 | status=init_identity | map pts=115
frame 001 | status=init_two_view | map pts=115
frame 002 | status=ok | matches=108 | assoc_acc=1.0000 | reproj_mean=0.000992 px
frame 003 | status=ok_no_valid_reprojection | matches=104 | assoc_acc=0.9904 | reproj_mean=NaN
frame 004 | status=ok_no_valid_reprojection | matches=90 | assoc_acc=0.9556 | reproj_mean=NaN
frame 005 | status=ok_no_valid_reprojection | matches=80 | assoc_acc=0.9250 | reproj_mean=NaN
frame 006 | status=ok_no_valid_reprojection | matches=76 | assoc_acc=0.8816 | reproj_mean=NaN
frame 007 | status=ok_no_valid_reprojection | matches=75 | assoc_acc=0.8400 | reproj_mean=NaN
frame 008 | status=ok_no_valid_reprojection | matches=69 | assoc_acc=0.7681 | reproj_mean=NaN
frame 009 | status=ok_no_valid_reprojection | matches=66 | assoc_acc=0.6818 | reproj_mean=NaN
frame 010 | status=ok_no_valid_reprojection | matches=59 | assoc_acc=0.6271 | reproj_mean=NaN
frame 011 | status=ok | matches=61 | assoc_acc=0.5738 | reproj_mean=148.858128 px
frame 012 | status=ok_no_valid_reprojection | matches=62 | assoc_acc=0.5484 | reproj_mean=NaN
frame 013 | status=ok | matches=58 | assoc_acc=0.4483 | reproj_mean=200.062035 px
frame 014 | status=ok | matches=58 | assoc_acc=0.3448 | reproj_mean=241.770832 px
frame 015 | status=ok | matches=55 | assoc_acc=0.2545 | reproj_mean=232.364430 px
frame 016 | status=ok | matches=53 | assoc_acc=0.2264 | reproj_mean=247.029091 px
frame 017 | status=ok | matches=58 | assoc_acc=0.1897 | reproj_mean=188.967725 px
frame 018 | status=ok | matches=57 | assoc_acc=0.3509 | reproj_mean=225.672989 px
frame 019 | status=ok_no_valid_reprojection | matches=51 | assoc_acc=0.4510 | reproj_mean=NaN
frame 020 | status=ok | matches=51 | assoc_acc=0.4706 | reproj_mean=179.802290 px
frame 021 | status=ok_no_valid_reprojection | matches=52 | assoc_acc=0.4615 | reproj_mean=NaN
frame 022 | status=ok_no_valid_reprojection | matches=52 | assoc_acc=0.4231 | reproj_mean=NaN
frame 023 | status=ok_no_valid_reprojection | matches=56 | assoc_acc=0.4286 | reproj_mean=NaN
frame 024 | status=ok | matches=55 | assoc_acc=0.4000 | reproj_mean=309.342354 px
frame 025 | status=ok | matches=54 | assoc_acc=0.3704 | reproj_mean=348.586538 px
frame 026 | status=ok | matches=53 | assoc_acc=0.3962 | reproj_mean=333.652880 px
frame 027 | status=ok | matches=50 | assoc_acc=0.3800 | reproj_mean=321.777057 px
frame 028 | status=ok | matches=49 | assoc_acc=0.4082 | reproj_mean=296.827252 px
frame 029 | status=ok | matches=48 | assoc_acc=0.3958 | reproj_mean=295.230201 px
frame 030 | status=ok_no_valid_reprojection | matches=49 | assoc_acc=0.4082 | reproj_mean=NaN
frame 031 | status=ok_no_valid_reprojection | matches=47 | assoc_acc=0.4043 | reproj_mean=NaN
frame 032 | status=ok_no_valid_reprojection | matches=51 | assoc_acc=0.3725 | reproj_mean=NaN
frame 033 | status=ok_no_valid_reprojection | matches=51 | assoc_acc=0.3725 | reproj_mean=NaN
frame 034 | status=ok_no_valid_reprojection | matches=50 | assoc_acc=0.3400 | reproj_mean=NaN
frame 035 | status=ok | matches=49 | assoc_acc=0.2857 | reproj_mean=226.008999 px
frame 036 | status=ok | matches=48 | assoc_acc=0.2917 | reproj_mean=240.590992 px
frame 037 | status=ok | matches=47 | assoc_acc=0.2979 | reproj_mean=228.074186 px
frame 038 | status=ok_no_valid_reprojection | matches=44 | assoc_acc=0.2500 | reproj_mean=NaN
frame 039 | status=ok_no_valid_reprojection | matches=45 | assoc_acc=0.2444 | reproj_mean=NaN
frame 040 | status=ok_no_valid_reprojection | matches=43 | assoc_acc=0.2093 | reproj_mean=NaN
frame 041 | status=ok_no_valid_reprojection | matches=41 | assoc_acc=0.2195 | reproj_mean=NaN
frame 042 | status=ok_no_valid_reprojection | matches=40 | assoc_acc=0.2250 | reproj_mean=NaN
frame 043 | status=ok_no_valid_reprojection | matches=39 | assoc_acc=0.1795 | reproj_mean=NaN
frame 044 | status=ok | matches=40 | assoc_acc=0.1750 | reproj_mean=297.549110 px
frame 045 | status=ok | matches=40 | assoc_acc=0.1750 | reproj_mean=278.148090 px
frame 046 | status=ok_no_valid_reprojection | matches=40 | assoc_acc=0.1500 | reproj_mean=NaN
frame 047 | status=ok_no_valid_reprojection | matches=37 | assoc_acc=0.1351 | reproj_mean=NaN
frame 048 | status=ok | matches=33 | assoc_acc=0.0909 | reproj_mean=232.421226 px
frame 049 | status=ok | matches=30 | assoc_acc=0.0333 | reproj_mean=290.210248 px
